Date,Close,High,Low,Open,Volume
1/3/2000,21.04138374,21.27370186,20.67631242,21.20732526,4520600
1/4/2000,20.60992813,21.00818761,20.3776101,20.87543445,4216500
1/5/2000,20.9418087,21.439633,20.60992584,20.60992584,5231600
1/6/2000,20.643116,20.90862231,20.54355113,20.77586915,4809400
1/7/2000,21.17412758,21.24050415,20.64311497,20.70949155,5124700
1/10/2000,21.27369499,21.77151937,21.10775353,21.2405067,4113900
1/11/2000,21.77150917,22.03701538,21.3068733,21.3068733,5440200
1/12/2000,22.70079613,22.86673762,21.57239398,21.73833547,8090000
1/13/2000,22.46846962,23.16542363,22.23615162,22.66759934,5700200
1/14/2000,22.62611198,22.7339739,22.23614966,22.7339739,3365400
1/18/2000,22.0370369,22.56804983,21.87109535,22.50167322,3401100
1/19/2000,22.50166512,22.6344183,21.77152259,21.77152259,3344700
1/20/2000,22.60122108,22.60122108,21.771514,22.60122108,3309700
1/21/2000,21.8047123,22.23616018,21.47282931,22.10340698,3722600
1/24/2000,20.97499847,22.00383542,20.97499847,21.90427056,3593500
1/25/2000,21.14095306,21.37327123,20.80906997,21.10776475,3304500
1/26/2000,18.98370361,21.04137778,18.41950263,21.04137778,16703200
1/27/2000,19.97935295,20.14529442,19.05008072,19.11645731,12082200
1/28/2000,19.51471138,19.87978251,19.31558167,19.71384109,4444200
1/31/2000,19.84659576,20.17847864,19.71384262,19.78021919,4838300
2/1/2000,19.44834328,19.94616776,19.38196668,19.87979117,4679500
2/2/2000,18.85094833,19.51471412,18.78457176,19.44833754,5769100
2/3/2000,18.58544922,19.21602696,18.2867545,18.88414394,9225700
2/4/2000,18.65182304,19.05008261,18.38631667,19.05008261,7752200
2/7/2000,18.55225563,18.91732685,18.05443124,18.71819709,9992900
2/8/2000,19.28239632,19.9793504,18.85094855,19.11645487,12144800
2/9/2000,19.05007744,19.48152519,18.78457113,19.48152519,5915400
2/10/2000,18.85094833,19.24920781,18.6518186,18.85094833,5353400
2/11/2000,18.55225563,18.81776197,18.48587905,18.61863222,3920500
2/14/2000,17.98805428,18.75138499,17.68935965,18.75138499,4426400
2/15/2000,17.92167473,18.12080445,17.7557333,17.92167473,4669200
2/16/2000,17.7225399,18.28674061,17.65616335,17.92166956,3804900
2/17/2000,17.92167473,18.08761616,17.72254501,17.82210987,4272000
2/18/2000,17.25790977,17.88848725,17.15834491,17.82211067,5494900
2/22/2000,17.15834618,17.62298224,17.0919696,17.12515789,4479500
2/23/2000,17.3242836,17.72254299,17.19153047,17.22471875,4927400
2/24/2000,16.66052437,17.1915371,16.46139459,17.05878391,6154300
2/25/2000,16.46139336,16.89284117,16.32864018,16.7268997,4551200
2/28/2000,16.52776527,16.82645983,16.262259,16.59414184,3880600
2/29/2000,16.85965157,17.22472276,16.76008669,16.85965157,4883900
3/1/2000,16.59414864,16.95921991,16.52777204,16.92603161,4969800
3/2/2000,16.39500809,16.69370257,16.32863154,16.52776119,4884600
3/3/2000,17.15834618,17.15834618,16.22907404,16.46139208,5193900
3/6/2000,16.76008224,17.25790647,16.52776427,17.25790647,4175100
3/7/2000,15.86400032,16.76008402,15.83081204,16.72689574,6183300
3/8/2000,16.3286438,16.5941502,15.93038419,16.129514,4015900
3/9/2000,16.99240303,16.99240303,15.93037784,16.26226071,4779200
3/10/2000,16.85965157,17.19153447,16.46139208,16.69371011,4819200
3/13/2000,17.22472572,17.22472572,16.62733639,16.99240765,5659700
3/14/2000,16.19588852,17.257914,15.96357045,17.2247257,5235700
3/15/2000,17.25790977,17.4570395,16.16269627,16.29544942,7044600
3/16/2000,18.08761215,18.25355355,17.39065829,17.72254108,8241900
3/17/2000,17.95487213,18.68501481,17.92168383,18.5854499,5463000
3/20/2000,18.35312843,18.51906992,18.12081035,18.18718695,2736000
3/21/2000,18.71819496,18.85094812,18.31993549,18.45268865,4239900
3/22/2000,18.71819496,18.98370127,18.58544181,18.71819496,3754000
3/23/2000,18.68501282,19.08327242,18.02124682,18.05443512,4034900
3/24/2000,18.48587608,19.08326526,18.41949951,18.65181752,3188100
3/27/2000,18.45269012,18.68500817,18.12080721,18.1539955,2189900
3/28/2000,18.65182304,18.78457623,18.05443369,18.05443369,2963500
3/29/2000,19.5479126,19.68066582,18.48588679,18.51907509,5292800
3/30/2000,19.97935295,20.31123589,19.54790513,19.54790513,4939100
3/31/2000,19.84659576,20.14529035,19.54790118,20.11210206,3738300
4/3/2000,20.44398499,20.51036156,19.94616068,20.07891382,4459400
4/4/2000,20.4605732,20.87542667,20.01253145,20.54354389,5145500
4/5/2000,20.47716904,20.51035732,19.78021515,20.17847451,4143600
4/6/2000,19.64747429,20.21167541,19.58109769,20.0457339,4124100
4/7/2000,19.64747429,19.81341579,19.18283807,19.31559128,3155400
4/10/2000,19.31558609,19.61428072,19.05007975,19.58109243,3234600
4/11/2000,20.01254082,20.04572911,19.05008031,19.18283349,3354100
4/12/2000,19.28239632,20.27804501,19.28239632,19.78022066,4548200
4/13/2000,18.12080383,19.1164524,18.12080383,19.1164524,7400300
4/14/2000,17.82211494,18.48588086,17.52342028,17.82211494,5744700
4/17/2000,17.88848877,18.12080681,17.55660586,17.7889239,4728900
4/18/2000,17.25790977,17.95486382,16.95921518,17.92167554,5440000
4/19/2000,17.55659866,17.62297522,17.25790417,17.49022211,3473000
4/20/2000,19.01689148,19.11645636,17.92167783,18.054431,7009700
4/24/2000,20.70950508,20.70950508,18.6518299,18.71820652,9601600
4/25/2000,20.57674217,20.9418134,20.27804753,20.67630705,3975100
4/26/2000,20.643116,20.90862231,20.37760968,20.37760968,3479300
4/27/2000,20.60992813,20.77586958,20.21166865,20.24485694,2904600
4/28/2000,20.21166229,20.57673337,19.94615606,20.47716853,2936500
5/1/2000,20.643116,20.87543402,20.17847995,20.17847995,3089100
5/2/2000,20.80905914,21.04137719,20.34442305,20.37761135,3129800
5/3/2000,19.8134079,20.54355023,19.68065475,20.31123222,5243800
5/4/2000,18.98370361,19.48152801,18.88413873,19.44833972,6515400
5/5/2000,18.95051575,19.2160221,18.58544452,18.85095087,4968100
5/8/2000,19.01689148,19.18283294,18.68500856,18.98370319,3115600
5/9/2000,19.64747429,19.74703919,19.21602637,19.24921467,3165700
5/10/2000,20.51036453,20.60992941,19.71384552,19.74703381,5995500
5/11/2000,20.27805138,20.60993438,20.24486308,20.44399288,3185200
5/12/2000,19.9461689,20.31124021,19.78022739,20.31124021,2410500
5/15/2000,20.27805138,20.47718118,19.84660347,19.87979177,2840100
5/16/2000,20.80905914,20.84224744,20.41079964,20.60992939,2753400
5/17/2000,20.7426815,20.87543466,20.34442202,20.54355176,2017900
5/18/2000,20.51036453,20.74268258,20.47717624,20.60992941,1933700
5/19/2000,20.07891083,20.57673506,19.97934598,20.07891083,2985300
5/22/2000,20.643116,20.77586915,20.07891508,20.11210337,3145000
5/23/2000,20.77587128,20.84224786,20.04572884,20.37761176,2757100
5/24/2000,20.57674217,21.20731975,20.24485923,20.77587194,5108400
5/25/2000,19.8134079,20.47717366,19.71384303,20.17847907,3453100
5/26/2000,20.04571724,20.14528206,19.74702278,19.78021105,3130700
5/30/2000,19.41514778,19.68065408,19.08326491,19.64746579,4210200
5/31/2000,19.01689148,19.41515099,18.75138514,19.11645636,3880700
6/1/2000,18.91732788,19.01689276,18.71819811,18.88413959,2979100
6/2/2000,19.18284035,19.28240526,18.68501577,19.18284035,3701800
6/5/2000,18.85094833,19.11645465,18.71819518,19.11645465,1957900
6/6/2000,18.65182304,18.91732942,18.51906985,18.65182304,3577600
6/7/2000,18.51906013,18.75137809,18.22036562,18.65181325,2518000
6/8/2000,18.81775856,18.98369999,18.31993426,18.31993426,3312300
6/9/2000,17.98805428,19.1164562,16.79327576,18.85094987,15301500
6/12/2000,17.3242836,17.68935471,16.99240077,17.65616643,8145700
6/13/2000,17.19153976,17.62298767,17.02559826,17.12516316,6046900
6/14/2000,16.85965157,17.52341738,16.79327498,16.99240473,5941800
6/15/2000,17.05878639,17.15835129,16.79327999,16.85965659,6280100
6/16/2000,16.6273365,17.29110243,16.6273365,17.25791413,6858000
6/19/2000,16.72689819,17.0255928,16.49458016,16.92602793,4510500
6/20/2000,16.72689819,16.85965135,16.46139187,16.82646306,3930200
